R,Corr_x_p,Corr_x,Corr_x_m,Corr_z_p,Corr_z,Corr_z_m
167.0,1.3978984016252274e-7,7.691765726591753e-7,5.707925499434592e-7,-1.14064683705956e-13,-1.120363055300151e-12,-6.827193571095892e-11
168.0,1.8289591616931735e-7,6.900213938641362e-7,4.3515303110796516e-7,6.649537234996561e-24,4.342558373544631e-22,5.368196316207007e-22
169.0,6.833944048926175e-8,9.027987646347205e-7,3.9037187525258315e-7,-1.622993577625743e-15,-2.7934230375616667e-12,-3.5741254934101685e-13
170.0,6.468890252508169e-8,3.37332641109478e-7,5.107482896328334e-7,8.866049646661708e-24,1.6284593900782413e-22,1.385340984827614e-22
171.0,7.351160559757023e-8,3.1931309625937396e-7,1.9084216353960646e-7,-5.524772774617769e-16,-3.9746812968314184e-14,-8.911436739364519e-13
172.0,7.649896687748697e-8,3.628631415605923e-7,1.8064780786183268e-7,-8.866049646669894e-23,2.171279186770866e-22,5.195028693100464e-23
173.0,1.5602982333889862e-7,3.77609157379391e-7,2.052857582249236e-7,-6.480013542251405e-17,-1.353006648900638e-14,-1.2679827029266709e-14
174.0,1.5726115923683485e-7,7.701841282564549e-7,2.1362815151717066e-7,-2.26084265990087e-21,-2.1712791867733895e-21,6.926704924133586e-23
175.0,7.557228115918008e-7,7.76262167344425e-7,4.357230444015255e-7,-5.662061904896531e-18,-1.586943348676582e-15,-4.316293306631895e-15
176.0,6.289008964848335e-7,3.730349124251319e-6,4.391616269407387e-7,-4.419725748865034e-21,-5.536761926272288e-20,-6.926704924141397e-22
177.0,1.0667625765933399e-6,3.1043391471822555e-6,2.1104032366634822e-6,-1.5517524381658026e-16,-1.3866285033500445e-16,-5.062586321703588e-16
178.0,6.469281320754899e-7,5.265683108065942e-6,1.756245103527525e-6,-7.137169965569633e-22,-1.0823826746065633e-19,-1.766309755656101e-20
179.0,6.442213079458602e-7,3.193323999123711e-6,2.979001242071911e-6,-1.4980289414791575e-16,-3.8002130620353894e-15,-4.423552044384511e-17
180.0,4.52842185135266e-7,3.1799627522927494e-6,1.8065872868718117e-6,-1.1525864540667784e-22,-1.7478797453526927e-20,-3.4529624046845747e-20
181.0,4.084216099787401e-7,2.235289742260468e-6,1.7990283111248465e-6,-3.800060502057976e-16,-3.668645210858857e-15,-1.2123247300243546e-15
182.0,6.30784760360011e-7,2.0160238274406435e-6,1.2645901361562038e-6,-6.206234752669113e-23,-2.8226629428044562e-21,-5.5759974639341764e-21
183.0,4.6014591376845995e-7,3.113638151855908e-6,1.1405429006528495e-6,-8.348274294574407e-17,-9.306277986915715e-15,-1.1703526202902023e-15
184.0,4.198274125147756e-7,2.2713419260674077e-6,1.7615059112716125e-6,-4.4330248233350256e-23,-1.5198954307414297e-21,-9.004716401380876e-22
185.0,4.078470043999462e-7,2.0723243980322133e-6,1.2849862553559654e-6,-1.3022637489445927e-16,-2.0444769564663526e-15,-2.9688416843627953e-15
186.0,4.666623911547049e-7,2.0131874972614222e-6,1.1723943178915242e-6,-1.1082562058337814e-22,-1.0856395933867188e-21,-4.848693446899159e-22
187.0,4.5470621592822795e-7,2.3035081321658845e-6,1.138938278621213e-6,-1.2648637791140745e-16,-3.189219869894778e-15,-6.522186871709499e-16
188.0,4.78054508432636e-7,2.2444908481811123e-6,1.303183926190605e-6,-7.09283971733765e-23,-2.7140989834668744e-21,-3.463352462070777e-22
189.0,3.7953918360497086e-7,2.359741150488551e-6,1.2697955587772608e-6,-5.130155927337609e-17,-3.097628034511055e-15,-1.0174087754144793e-15
190.0,4.008985552820811e-7,1.8734562983452811e-6,1.3349971264897406e-6,-1.0240287341904e-21,-1.7370233494192456e-21,-8.658381155177184e-22
191.0,6.38677033641857e-7,1.978889020777516e-6,1.0598869178414951e-6,-2.1623499428450493e-17,-1.2563657118129492e-15,-9.88189611831908e-16
192.0,5.229995362024558e-7,3.1525954709598166e-6,1.1195342996977138e-6,-1.032894783837073e-21,-2.5078274607233472e-20,-5.541363939314775e-22
